Generation number;Average evalution;Best evalution;Average fitness;Best fitness
0;0,04595118;0,1125369;0,02;0,04898107
1;0,04063361;0,1198596;0,02;0,05899529
2;0,03279577;0,1276412;0,02;0,07784002
3;0,02907453;0,1258527;0,02;0,08657248
4;0,02817536;0,125861;0,02;0,08934119
5;0,0250555;0,05804851;0,02;0,04633594
6;0,02443119;0,05747754;0,02;0,0470526
7;0,02315148;0,05631791;0,02;0,04865167
8;0,02284437;0,03628812;0,02;0,03176986
9;0,02263076;0,03468269;0,02;0,03065093
10;0,02239361;0,02288739;0,02;0,020441
11;0,02235018;0,02286326;0,02000001;0,02045913
12;0,02234731;0,02283663;0,02;0,02043791
13;0,02237787;0,02283567;0,02;0,02040916
14;0,02233029;0,02284025;0,02;0,02045674
15;0,02230867;0,02283945;0,02;0,02047585
16;0,02228853;0,02290682;0,02;0,0205548
17;0,02228064;0,02285397;0,02;0,02051465
18;0,02223611;0,02279118;0,02;0,02049925
19;0,02216485;0,02288131;0,02;0,02064648
20;0,022242;0,02288097;0,02;0,02057456
21;0,02215894;0,02288321;0,02;0,0206537
22;0,02220816;0,022882;0,02;0,02060684
23;0,02221117;0,02288156;0,01999999;0,02060365
24;0,02218201;0,0228838;0,02;0,02063275
25;0,02210013;0,022883;0,02;0,02070848
26;0,02218277;0,0228821;0,02;0,02063052
27;0,02216813;0,02294341;0,02;0,02069946
28;0,02210059;0,02282426;0,02;0,02065489
29;0,0220816;0,02283765;0,02;0,02068478
30;0,02219678;0,02303524;0,02;0,02075547
31;0,02218709;0,02302559;0,01999999;0,02075584
32;0,02211658;0,02284194;0,02;0,02065594
33;0,02217588;0,0229149;0,02000001;0,02066651
34;0,02217872;0,02310437;0,02000001;0,02083472
35;0,02212303;0,0234628;0,02;0,0212112
36;0,02227291;0,02299402;0,02;0,02064752
37;0,02216944;0,02289375;0,02;0,02065344
38;0,02216545;0,02323442;0,02;0,02096453
39;0,02219358;0,02304538;0,02;0,02076761
40;0,02212323;0,02287083;0,02;0,02067585
41;0,02222453;0,02312031;0,02;0,02080612
42;0,02217295;0,02349414;0,02;0,02119172
43;0,02213416;0,02282446;0,02;0,02062374
44;0,02203035;0,02286839;0,02;0,02076081
45;0,02201508;0,02286768;0,02;0,02077456
46;0,0222363;0,0235285;0,02;0,02116225
47;0,02213157;0,02348931;0,02;0,02122697
48;0,02218845;0,02286832;0,02;0,02061282
49;0,02216324;0,02292297;0,02;0,02068558
50;0,02220153;0,02278914;0,02;0,02052935
51;0,02215901;0,02301386;0,02;0,02077156
52;0,02222377;0,02330119;0,02;0,02096962
53;0,02210113;0,02292764;0,02000001;0,02074793
54;0,02225792;0,02325795;0,02;0,02089858
55;0,02217922;0,02307178;0,02;0,02080487
56;0,02219862;0,02311972;0,02000001;0,02082988
57;0,02217281;0,02287917;0,02;0,02063714
58;0,0222146;0,02328898;0,02;0,02096728
59;0,02211426;0,02291313;0,02;0,02072249
60;0,02218974;0,02289729;0,02;0,02063773
61;0,02213684;0,02344463;0,02000001;0,02118156
62;0,02220675;0,02291855;0,02;0,02064107
63;0,02212266;0,02278807;0,02;0,02060157
